product_id,name,date,unit,category_name,category_codes,monimi_meiosi,promo,supplier_name,supplier_code,merchant,price,price_normalized
5201262114176,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΚΡΙΘ/ΚΙ ΜΑΝ/ΡΙ ΚΤΨ12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,4.47,5.96
5201262114176,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΚΡΙΘ/ΚΙ ΜΑΝ/ΡΙ ΚΤΨ12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,mymarket,4.5,6.0
5201262114176,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΚΡΙΘ/ΚΙ ΜΑΝ/ΡΙ ΚΤΨ12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,4.46,5.95
5201262114183,ΜΠΑΡΜΠΑΣΤΑΘΗΣ ΚΡΙΘ. ΠΙΠ. ΝΤ. ΚΤΨ 12/750G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Γεύματα, Κατεψυγμένα γεύματα με Λαχανικά & άλλα κατεψυγμένα γεύματα","[231, 232, 233]",True,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,4.46,5.95
5201262120016,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΑΡΑΚΑΣ ΒΙΟΛ. ΚΑΛ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,xalkiadakis,1.98,4.4
5201262120016,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΑΡΑΚΑΣ ΒΙΟΛ. ΚΑΛ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,4.18,9.29
5201262120016,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΑΡΑΚΑΣ ΒΙΟΛ. ΚΑΛ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,mymarket,4.14,9.2
5201262120016,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΑΡΑΚΑΣ ΒΙΟΛ. ΚΑΛ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,masoutis,2.98,6.62
5201262120023,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΦΑΣΟΛΑΚΙΑ ΣΤΡ. ΒΙΟ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,xalkiadakis,2.0,4.44
5201262120023,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ ΦΑΣΟΛΑΚΙΑ ΣΤΡ. ΒΙΟ. 20/450G,09-04-2026,ανά κιλ,"Κατεψυγμένα, Κατεψυγμένα Λαχανικά & Φρούτα, Λαχανικά κατεψυγμένα","[231, 237, 238]",False,False,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ,314.0,efresh,4.04,8.98
