CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
13,5208086449972,ΣΤΡΟΥΓΓΑ 1KG ΓΙΑΟΥΡΤΙ ΣΤΡΑΓΓΙΣΤΟ 10%,2.99,2.99,5208086449972.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,bazaar,10-09-2025,16-09-2025
14,5208086450404,ΣΤΡΟΥΓΓΑ 1KG ΓΙΑΟΥΡΤΙ ΣΤΡΑΓΓΙΣΤΟ 2%,2.99,2.99,5208086450404.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,bazaar,10-09-2025,16-09-2025
15,11463,ΜΥΤΙΛΗΝΗΣ ΦΕΤΑ Π.Ο.Π /ΔΟΧΕΙΟ,8.95,8.95,11463.jpg,0,Τυρί Φέτα,kg,,bazaar,10-09-2025,16-09-2025
16,5208086414468,ΑΓΡΟΚΤΗΜΑ ΓΚΟΥΝΤΑ 500G ΣΕ ΦΕΤΕΣ (FRESH PACK),3.4,6.8,5208086414468.jpg,1,Τυρί Γκούντα,kg,,bazaar,10-09-2025,16-09-2025
17,5208086414789,ΑΓΡΟΚΤΗΜΑ 200G / 8-ΦΕΤΕΣ FINESSE ΤΥΡΙ LIGHT (FRESH PACK),1.92,9.6,5208086414789.jpg,1,Τυρί με Χαμηλά Λιπαρά,kg,,bazaar,10-09-2025,16-09-2025
18,5201106271270,PUMMARO 500G PASSATA ΚΛΑΣΣΙΚΟ,0.75,1.5,5201106271270.jpg,0,Χυμός Τομάτας Διατηρημένος,kg,,bazaar,10-09-2025,16-09-2025
18,5202908500001,THE RED FARM 500G ΤΟΜΑΤΑ PASSATA,0.57,1.14,5202908500001.jpg,1,Χυμός Τομάτας Διατηρημένος,kg,,bazaar,10-09-2025,16-09-2025
19,5208086423408,ΑΓΡΟΚΤΗΜΑ 6-ΤΜΧ ΑΥΓΑ MEDIUM,1.49,0.25,5208086423408.jpg,1,Αυγά,τμχ,,bazaar,10-09-2025,16-09-2025
20,8710448545064,REMIA GOLD 250G ΜΑΡΓΑΡΙΝΗ 80%  /ΑΛΟΥΜΙΝΟΧΑΡΤΟ,0.88,3.52,8710448545064.jpg,0,Μαργαρίνες,kg,,bazaar,10-09-2025,16-09-2025
21,5208086449019,ΠΑΡΑΔΟΣΙΑΚΟ ΕΚΛΕΚΤΟ 1L ΕΛΑΙΟΛΑΔΟ ΕΞΑΙΡΕΤΙΚΟ ΠΑΡΘΕΝΟ,6.95,6.95,5208086449019.jpg,1,Παρθένο Ελαιόλαδο,lt,,bazaar,10-09-2025,16-09-2025
22,5208086440979,FARMER 1L ΗΛΙΕΛΑΙΟ,1.75,1.75,5208086440979.jpg,1,Ηλιέλαιο,lt,,bazaar,10-09-2025,16-09-2025
23,5201262001285,ΜΠΑΡΜΠΑ ΣΤΑΘΗ 1KG ΑΡΑΚΑΣ ΚΤΨ,2.9,2.9,5201262001285.jpg,0,Λαχανικά Κατεψυγμένα,kg,,bazaar,10-09-2025,16-09-2025
23,5201262001292,ΜΠΑΡΜΠΑ ΣΤΑΘΗ 1KG ΦΑΣΟΛΑΚΙ ΣΤΡΟΓΓΥΛΟ ΚΤΨ,2.85,2.85,5201262001292.jpg,0,Λαχανικά Κατεψυγμένα,kg,,bazaar,10-09-2025,16-09-2025
23,5208086414543,FARMER 1KG ΑΡΑΚΑΣ ΚΤΨ,1.95,1.95,5208086414543.jpg,1,Λαχανικά Κατεψυγμένα,kg,,bazaar,10-09-2025,16-09-2025
23,5208086415182,FARMER 1KG ΦΑΣΟΛΑΚΙΑ ΣΤΡΟΓΓΥΛΑ ΚΤΨ,1.95,1.95,5208086415182.jpg,1,Λαχανικά Κατεψυγμένα,kg,,bazaar,10-09-2025,16-09-2025
24,5200120912039,ROYAL SUGAR 1KG ΖΑΧΑΡΗ  ΛΕΥΚΗ ΚΡΥΣΤΑΛΛΙΚΗ,0.75,0.75,5200120912039.jpg,0,Λευκή Ζάχαρη,kg,,bazaar,10-09-2025,16-09-2025
25,5201002000233,ΓΙΩΤΗΣ 300G FARINE LACTEE,2.75,9.17,5201002000233.jpg,0,Κρέμες για βρέφη,kg,,bazaar,10-09-2025,16-09-2025
26,5201037503754,ΔΕΛΤΑ 1L ADVANCE ΓΑΛΑ ΥΨΗΛΗΣ ΠΑΣΤΕΡΙΩΣΗΣ (ΦΙΑΛΗ),2.1,2.1,5201037503754.jpg,0,Γάλα για βρέφη,kg,,bazaar,10-09-2025,16-09-2025
27,5208086444953,ΚΑΛΗΜΕΡΑ 100G ΚΑΦΕΣ ΕΛΛΗΝΙΚΟΣ,1.79,17.9,5208086444953.jpg,1,Ελληνικός Καφές,kg,,bazaar,10-09-2025,16-09-2025
