CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΚΑΤΗΓΟΡΙΑ
22,8590421067727,GUSTONA ΗΛΙΕΛΑΙΟ 1LT,1.75,1.75,7735645.jpg,1,Ηλιέλαιο,lt,,ab,08-01-2025,14-01-2025,
23,5201310722292,ΥΦΑΝΤΗΣ ΑΡΑΚΑΣ 800G+200G ΔΩΡΟ,2.86,2.86,7637352.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,08-01-2025,14-01-2025,
23,5201310722315,ΥΦΑΝΤΗΣ ΦΑΣΟΛΙ ΣΤΡΟΓ. 800G+200G ΔΩΡΟ,2.58,2.58,7637367.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,08-01-2025,14-01-2025,
24,5202336024438,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε.1KG,0.80,0.80,7473026.jpg,1,Λευκή Ζάχαρη,kg,,ab,08-01-2025,14-01-2025,
24,5202336128600,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε. 1KG,0.80,0.80,7616633.jpg,1,Λευκή Ζάχαρη,kg,,ab,08-01-2025,14-01-2025,
25,3041091409812,NUTRICIA ΦΑΡΙΝ ΛΑΚΤΕ 250 ΓΡ,2.58,10.32,7475893.jpg,0,Κρέμες για βρέφη,kg,,ab,08-01-2025,14-01-2025,
26,5202353004819,ALMIRON 1+ GROWING UP  1LT,2.13,2.13,7068172.jpg,0,Γάλα για βρέφη,kg,,ab,08-01-2025,14-01-2025,
26,5202353004826,ALMIRON GROWING UP 2+  1LT,2.13,2.13,7068174.jpg,0,Γάλα για βρέφη,kg,,ab,08-01-2025,14-01-2025,
27,5201075011730,ΦΙΛΙΟΣ ΠΑΡΑΔΟΣΙΑΚΟΣ ΕΛ/ΚΟΣ ΚΑΦΕΣ 96GR,1.05,10.94,7727862.jpg,1,Ελληνικός Καφές,kg,,ab,08-01-2025,14-01-2025,
28,5202336139255,PERLA GOLD ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR,8.36,41.80,7668915.jpg,1,Στιγμιαίος Καφές,kg,,ab,08-01-2025,14-01-2025,
28,5949065033859,PERLA ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR,6.80,34.00,7668972.jpg,1,Στιγμιαίος Καφές,kg,,ab,08-01-2025,14-01-2025,
29,8712500013269,GONDOLIERE ΚΑΦΕΣ ΦΙΛΤΡΟΥ 500Γ,5.35,10.70,7555374.jpg,1,Γαλλικός Καφές,kg,,ab,08-01-2025,14-01-2025,
30,7640110709481,CANDEREL STEVIA POWEDR 500G,6.61,13.22,7550004.jpg,0,Γλυκαντικές Ουσίες Κατάλληλες για Διαβητικούς,kg,,ab,08-01-2025,14-01-2025,
32,5201502247619,AGRINO ΦΑΚΕΣ ΨΙΛΕΣ 500GR ΕΙΣ.,1.90,3.80,7085580.jpg,0,Φακές,kg,,ab,08-01-2025,14-01-2025,
32,5202336137633,ΑΒ ΦΑΚΕΣ ΨΙΛΕΣ 500G ΕΙΣΑΓΩΓΗΣ,0.94,1.88,7142787.jpg,1,Φακές,kg,,ab,08-01-2025,14-01-2025,
33,5202336024469,AB ΦΥΣΙΚΟΣ ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙ 1LT,1.25,1.25,7091821.jpg,1,Χυμός Πορτοκάλι,lt,,ab,08-01-2025,14-01-2025,
35,5202336128143,ΑΒ ΣΚΟΝΗ ΠΛΥΝΤ.ACTIVE CLEAN 75MEZ,6.59,0.09,7584379.jpg,1,Απορρυπαντικά Πλυντηρίου,μεζ,,ab,08-01-2025,14-01-2025,
36,5202336119462,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.FRESH 1250ML,0.93,0.74,7568693.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,08-01-2025,14-01-2025,
36,5202336127764,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.LEMON 1250ML,0.93,0.74,7568679.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,08-01-2025,14-01-2025,
36,5202336127801,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.PINK 1250ML,0.93,0.74,7568692.jpg,1,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,08-01-2025,14-01-2025,
37,5202336149544,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ REGULAR 500ML,0.95,1.90,7638032.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,08-01-2025,14-01-2025,
37,5202336149568,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ ΛΕΜΟΝΙ 500ML,0.95,1.90,7638021.jpg,1,Απορρυπαντικά Πιάτων,lt,,ab,08-01-2025,14-01-2025,
38,5202336021536,ΑΒ ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ 800GR,2.50,3.13,7114202.jpg,1,Χαρτί Κουζίνας,kg,,ab,08-01-2025,14-01-2025,
39,8006540948163,ORALB ΟΔ/ΜΑ 1 2 3 75ML,1.08,14.40,7111750.jpg,0,Οδοντόκρεμα,kg,,ab,08-01-2025,14-01-2025,
40,5202336111510,365 ΧΑΡΤΙ ΥΓΕΙΑΣ 10ΡΟΛΑ 2PLY,2.46,0.25,7353743.jpg,1,Χαρτί Υγείας,τμχ,,ab,08-01-2025,14-01-2025,
