CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΠΕΡΙΓΡΑΦΗ   ΕΙΔΗ 10/12/24,null
11,5202336155712,AB ΕΠΙΛΟΓΗ  ΦΡΕΣΚΟ ΓΑΛΑ ΕΛΑΦΡΥ 1LT,1.00,1.00,7729454.jpg,1,Γάλα Φρέσκο (Χαμηλά Λιπαρά <2%),lt,,ab,11-12-2024,17-12-2024,,
12,5201037508032,ΒΛAXAΣ ΓAΛA EBAΠOPE ΠΛΗΡΕΣ 410G,1.26,3.07,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,11-12-2024,17-12-2024,,
12,5201037508063,ΒΛAXAΣ ΓAΛA EBAΠΟΡΕ EΛAΦPY 410G,1.26,3.07,default_kalathi.png,0,Γάλα Εβαπορέ,lt,,ab,11-12-2024,17-12-2024,,
12,5202336127627,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 7.8% ΠΛΗΡΕΣ 170G,0.39,2.29,7579709.jpg,1,Γάλα Εβαπορέ,lt,,ab,11-12-2024,17-12-2024,,
12,5202336127641,AB ΓΑΛΑ ΕΒΑΠΟΡΕ 4% LIGHT 170G,0.39,2.29,7579741.jpg,1,Γάλα Εβαπορέ,lt,,ab,11-12-2024,17-12-2024,,
13,5202336035694,AB ΑΓΕΛΑΔΟΣ 3.9% ΓΙΑΟΥΡΤΙ 3Χ200ΓΡ,1.30,2.17,7080174.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,11-12-2024,17-12-2024,,
13,5206851067758,ΝΟΥΝΟΥ ΣΤΡΑΓΓ. ΓΙΑΟΥ  2Χ200Γ Κ 200ΓΡ ΔΩΡ,2.73,4.55,7335616.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις,kg,,ab,11-12-2024,17-12-2024,,
14,5202336035700,AB ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 3Χ200ΓΡ,1.30,2.17,7080184.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,11-12-2024,17-12-2024,,
14,5206851067772,ΝΟΥΝΟΥ ΣΤΡΑΓΓ. ΓΙΑ 1.5% 2Χ200Γ Κ 200ΓΡ Δ,2.73,4.55,7335617.jpg,0,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,11-12-2024,17-12-2024,,
15,5202336106974,ΑΒ ΦΕΤΑ ΠΟΠ ΤΡΙΠΟΛΕΩΣ 400G VACUUM,3.95,9.88,7309470.jpg,1,Τυρί Φέτα,kg,,ab,11-12-2024,17-12-2024,,
16,5201953990713,GOUDA ΣΕ ΦΕΤΕΣ 400ΓΡ,2.75,6.88,7301299.jpg,1,Τυρί Γκούντα,kg,,ab,11-12-2024,17-12-2024,,
17,15201953000419,GOUDA LIGHT ΣΕ ΦΕΤΕΣ 200GR,1.92,9.60,7303540.jpg,1,Τυρί με Χαμηλά Λιπαρά,kg,,ab,11-12-2024,17-12-2024,,
18,5201106271270,PUMMARO PASSATA ΚΛΑΣΙΚΟ 500GR,0.68,1.36,7085895.jpg,0,Χυμός Τομάτας Διατηρημένος,kg,,ab,11-12-2024,17-12-2024,,
18,GRHC3270464,GUSTONA 6/8 ΠΑΣΑΤΑ ΤΟΜΑΤΑ 500G,0.53,1.06,7718936.jpg,1,Χυμός Τομάτας Διατηρημένος,kg,,ab,11-12-2024,17-12-2024,,
19,5202336137152,AB ΑΥΓΑ 10ΑΔΑ ΑΧΥΡΩΝΑ LARGE 63/73GR,3.29,0.33,7624168.jpg,1,Αυγά,τμχ,,ab,11-12-2024,17-12-2024,,
19,5202336162185,AB ΕΠ ΑΥΓΑ ΑΧΥΡΩΝΑ 12ΑΔΑ Μ 53/63GR,2.65,0.22,default_kalathi.png,1,Αυγά,τμχ,,ab,11-12-2024,17-12-2024,,
20,5208069003115,SUPER FRESCO ΜΑΡΓΑΡ.ΚΛΑΣΙΚΟ 200G,0.75,3.75,7633040.jpg,0,Μαργαρίνες,kg,,ab,11-12-2024,17-12-2024,,
21,5202336008865,ΑΒ ΕΧΤΡΑ ΠΑΡΘ.ΕΛΑΙΟΛΑΔΟ 2LTΦ/ΠΛΑΣΤ,21.70,10.85,7062287.jpg,1,Παρθένο Ελαιόλαδο,lt,,ab,11-12-2024,17-12-2024,,
22,8590421067727,GUSTONA ΗΛΙΕΛΑΙΟ 1LT,1.86,1.86,7735645.jpg,1,Ηλιέλαιο,lt,,ab,11-12-2024,17-12-2024,,
23,5201310722292,ΥΦΑΝΤΗΣ ΑΡΑΚΑΣ 800G+200G ΔΩΡΟ,2.86,2.86,7637352.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,11-12-2024,17-12-2024,,
23,5201310722315,ΥΦΑΝΤΗΣ ΦΑΣΟΛΙ ΣΤΡΟΓ. 800G+200G ΔΩΡΟ,2.58,2.58,7637367.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,11-12-2024,17-12-2024,,
24,5202336024438,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε.1KG,0.80,0.80,7473026.jpg,1,Λευκή Ζάχαρη,kg,,ab,11-12-2024,17-12-2024,,
24,5202336128600,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε. 1KG,0.80,0.80,7616633.jpg,1,Λευκή Ζάχαρη,kg,,ab,11-12-2024,17-12-2024,,
25,5201002000233,ΓIΩTHΣ ΦAPIN ΛAKTE 300GR,2.42,8.07,default_kalathi.png,0,Κρέμες για βρέφη,kg,,ab,11-12-2024,17-12-2024,,
26,5202353004819,ALMIRON 1+ GROWING UP  1LT,2.13,2.13,7068172.jpg,0,Γάλα για βρέφη,kg,,ab,11-12-2024,17-12-2024,,
26,5202353004826,ALMIRON GROWING UP 2+  1LT,2.13,2.13,7068174.jpg,0,Γάλα για βρέφη,kg,,ab,11-12-2024,17-12-2024,,
27,5201075011730,ΦΙΛΙΟΣ ΠΑΡΑΔΟΣΙΑΚΟΣ ΕΛ/ΚΟΣ ΚΑΦΕΣ 96GR,1.05,10.94,7727862.jpg,1,Ελληνικός Καφές,kg,,ab,11-12-2024,17-12-2024,,
