CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ENRICHED
14,5202336035700,AB ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 3Χ200ΓΡ,1.47,2.45,7080184.jpg,1,Γιαούρτι από Γάλα Αγελάδος Χωρίς Γεύσεις (Χαμηλά Λιπαρά <2%),kg,,ab,17-09-2025,23-09-2025,"{'product_id': 5041, 'brand': 'ACTIVIA', 'detailed_category': 'Γιαούρτια, Κρέμες γάλακτος & Επιδόρπια ψυγείου', 'sub_category': 'Γιαούρτια', 'sub_sub_category': 'Γιαούρτια Αγελάδος', 'unit': 'ανά κιλ', 'catalog_description': 'ACTIVIA ΓΙΑΟΥΡΤΙ ΑΓΕΛΑΔΟΣ 2% 4/3Χ200G', 'logo': 'ACTIVIA_γιαουρτι.jpg', 'permanent_discount': True, 'match_method': 'name_similarity', 'match_confidence': 0.82}"
15,5202336157235,ΑΒ ΚΣΕΓ ΦΕΤΑ ΠΟΠ ΤΡΙΠΟΛΕΩΣ 400G VACUUM,3.95,9.88,7737722.jpg,1,Τυρί Φέτα,kg,,ab,17-09-2025,23-09-2025,
16,5201953990713,GOUDA ΣΕ ΦΕΤΕΣ 400ΓΡ,2.76,6.90,7301299.jpg,1,Τυρί Γκούντα,kg,,ab,17-09-2025,23-09-2025,
17,15201953000419,GOUDA LIGHT ΦΕΤΕΣ 200G,1.95,9.75,7303540.jpg,1,Τυρί με Χαμηλά Λιπαρά,kg,,ab,17-09-2025,23-09-2025,
18,5201106271270,PUMMARO PASSATA ΚΛΑΣΙΚΟ 500GR,0.68,1.36,7085895.jpg,0,Χυμός Τομάτας Διατηρημένος,kg,,ab,17-09-2025,23-09-2025,"{'product_id': 4690, 'brand': 'PUMMARO', 'detailed_category': 'Τρόφιμα Παντοπωλείου', 'sub_category': 'Ντοματικά', 'sub_sub_category': 'Ντομάτα πασσάτα', 'unit': 'ανά κιλ', 'catalog_description': 'PUMMARO ΧΥΜΟΣ ΤΟΜΑΤΑΣ ΚΛΑΣΙΚΟ 24/500G', 'logo': 'Pummaro_Pasata_KLASIKO_500GR.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
18,GRHC3270464,GUSTONA 6/8 ΠΑΣΑΤΑ ΤΟΜΑΤΑ 500G,0.47,0.94,7718936.jpg,1,Χυμός Τομάτας Διατηρημένος,kg,,ab,17-09-2025,23-09-2025,
19,5202336162185,AB ΕΠ ΑΥΓΑ 12ΑΔΑ ΑΧΥΡΩΝΑ Μ 53/63G,2.88,0.24,7674481.jpg,1,Αυγά,τμχ,,ab,17-09-2025,23-09-2025,"{'product_id': 3239, 'brand': 'ΗΠΕΙΡΟΣ', 'detailed_category': 'Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί', 'sub_category': 'Βούτυρα', 'sub_sub_category': 'Βούτυρο γάλακτος', 'unit': 'ανά κιλ', 'catalog_description': 'ΗΠΕΙΡΟΣ ΛΙΩΜ. ΒΟΥΤΥΡΟ ΓΑΛΑΚΤ. ΠΛ. Δ. 12/500G', 'logo': 'Ηπειρος_Λιωμένο_Γάλα_Βάσει_500GR.jpg', 'permanent_discount': False, 'match_method': 'category', 'match_confidence': 0.5}"
20,5208069003115,SUPER FRESCO ΜΑΡΓΑΡ.ΚΛΑΣΙΚΟ 200G,0.80,4.00,7633040.jpg,0,Μαργαρίνες,kg,,ab,17-09-2025,23-09-2025,"{'product_id': 4091, 'brand': 'SUPER', 'detailed_category': 'Αυγά, Βούτυρο, Νωπές Ζύμες & Ζωμοί', 'sub_category': 'Μαργαρίνες', 'sub_sub_category': 'Μαργαρίνες', 'unit': 'ανά κιλ', 'catalog_description': 'SUPER FRESCO 40/200G', 'logo': 'Super_Fresco_WRAPPER_200GR.jpg', 'permanent_discount': False, 'match_method': 'barcode', 'match_confidence': 1.0}"
21,5202336008858,ΑΒ ΕΧΤΡΑ ΠΑΡΘ.ΕΛΑΙΟΛΑΔΟ 1LTΦ/ΠΛΑΣΤ,6.79,6.79,7062286.jpg,1,Παρθένο Ελαιόλαδο,lt,,ab,17-09-2025,23-09-2025,
22,8590421067727,GUSTONA ΗΛΙΕΛΑΙΟ 1LT,1.75,1.75,7735645.jpg,1,Ηλιέλαιο,lt,,ab,17-09-2025,23-09-2025,
23,5201310000437,ΥΦΑΝΤΗΣ ΑΡΑΚΑΣ 1KG,2.55,2.55,7739492.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,17-09-2025,23-09-2025,
23,5201310000468,ΥΦΑΝΤΗΣ ΦΑΣΟΛΑΚΙΑ ΠΛΑΤΥ 1KG,2.65,2.65,7739484.jpg,0,Λαχανικά Κατεψυγμένα,kg,,ab,17-09-2025,23-09-2025,
24,5202336024438,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε.1KG,0.70,0.70,7473026.jpg,1,Λευκή Ζάχαρη,kg,,ab,17-09-2025,23-09-2025,
24,5202336128600,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε. 1KG,0.70,0.70,7616633.jpg,1,Λευκή Ζάχαρη,kg,,ab,17-09-2025,23-09-2025,
25,5201002000233,ΓIΩTHΣ ΦAPIN ΛAKTE 300GR,2.42,8.07,7134656.jpg,0,Κρέμες για βρέφη,kg,,ab,17-09-2025,23-09-2025,
26,5202353004819,ALMIRON 1+ GROWING UP  1LT,1.70,1.70,7068172.jpg,0,Γάλα για βρέφη,kg,,ab,17-09-2025,23-09-2025,
26,5202353004826,ALMIRON GROWING UP 2+  1LT,1.70,1.70,7068174.jpg,0,Γάλα για βρέφη,kg,,ab,17-09-2025,23-09-2025,
27,5201075011730,ΦΙΛΙΟΣ ΠΑΡΑΔΟΣΙΑΚΟΣ ΕΛ/ΚΟΣ ΚΑΦΕΣ 96GR,1.18,12.29,7727862.jpg,1,Ελληνικός Καφές,kg,,ab,17-09-2025,23-09-2025,
