CATEGORY,BARCODE,NAME,PRICE,PRICE_NORMALIZED,IMAGE,PL,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,
33,5202336024438,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε.1KG,0.70,0.70,7473026.jpg,1,Χυμός Πορτοκάλι,lt,,ab,07-05-2025,13-05-2025,
33,5202336128600,ΑΒ ΖΑΧΑΡΗ ΛΕΥΚΗ ΚΡΥΣ/ΚΗ Ε.Ε. 1KG,0.70,0.70,7616633.jpg,1,Χυμός Πορτοκάλι,lt,,ab,07-05-2025,13-05-2025,
34,5202336078011,ΑΒ ΦΡΟΥΚΤΟΖΗ 200GR,1.47,7.35,7072077.jpg,1,Απολυμαντικά Χεριών και Αντισηπτικά,lt,,ab,07-05-2025,13-05-2025,
35,8590421070512,EMMA ΝΙΦΑΔΕΣ ΒΡΩΜΗΣ 500GR,0.95,1.90,7685010.jpg,1,Απορρυπαντικά Πλυντηρίου,μεζ,,ab,07-05-2025,13-05-2025,
36,5201002000233,ΓIΩTHΣ ΦAPIN ΛAKTE 300GR,2.42,8.07,7134656.jpg,0,Απορρυπαντικά για Σφουγγάρισμα - Χλωρίνες,lt,,ab,07-05-2025,13-05-2025,
37,5202353004819,ALMIRON 1+ GROWING UP  1LT,2.13,2.13,7068172.jpg,0,Απορρυπαντικά Πιάτων,lt,,ab,07-05-2025,13-05-2025,
37,5202353004826,ALMIRON GROWING UP 2+  1LT,2.13,2.13,7068174.jpg,0,Απορρυπαντικά Πιάτων,lt,,ab,07-05-2025,13-05-2025,
38,5201075011730,ΦΙΛΙΟΣ ΠΑΡΑΔΟΣΙΑΚΟΣ ΕΛ/ΚΟΣ ΚΑΦΕΣ 96GR,1.18,12.29,7727862.jpg,1,Χαρτί Κουζίνας,kg,,ab,07-05-2025,13-05-2025,
39,5202336139255,PERLA GOLD ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR,5.40,27.00,7668915.jpg,1,Οδοντόκρεμα,kg,,ab,07-05-2025,13-05-2025,
39,5949065033859,PERLA ΣΤΙΓΜΙΑΙΟΣ ΚΑΦΕΣ 200GR TIN,6.80,34.00,7668972.jpg,1,Οδοντόκρεμα,kg,,ab,07-05-2025,13-05-2025,
40,8712500013269,GONDOLIERE ΚΑΦΕΣ ΦΙΛΤΡΟΥ 500Γ,5.70,11.40,7555374.jpg,1,Χαρτί Υγείας,τμχ,,ab,07-05-2025,13-05-2025,
41,5202336024469,AB ΦΥΣΙΚΟΣ ΧΥΜΟΣ ΠΟΡΤΟΚΑΛΙ 1LT,1.40,1.40,7091821.jpg,1,Σερβιέτες ή Ταμπόν,τμχ,,ab,07-05-2025,13-05-2025,
42,5202336128143,ΑΒ ΣΚΟΝΗ ΠΛΥΝΤ.ACTIVE CLEAN 75MEZ,6.59,0.09,7584379.jpg,1,Προϊόντα Βρώμης,kg,,ab,07-05-2025,13-05-2025,
43,5202336119462,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.FRESH 1250ML,0.93,0.74,7568693.jpg,1,Σαμπουάν,lt,,ab,07-05-2025,13-05-2025,
43,5202336127764,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.LEMON 1250ML,0.93,0.74,7568679.jpg,1,Σαμπουάν,lt,,ab,07-05-2025,13-05-2025,
43,5202336127801,AB ΧΛΩΡΟΚΑΘΑΡΙΣΤΙΚΟ UL.PINK 1250ML,0.93,0.74,7568692.jpg,1,Σαμπουάν,lt,,ab,07-05-2025,13-05-2025,
44,5202336149544,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ REGULAR 500ML,0.95,1.90,7638032.jpg,1,Σαπούνι Στερεό,kg,,ab,07-05-2025,13-05-2025,
44,5202336149568,ΑΒ ΥΓΡΟ ΠΙΑΤΩΝ ΛΕΜΟΝΙ 500ML,0.95,1.90,7638021.jpg,1,Σαπούνι Στερεό,kg,,ab,07-05-2025,13-05-2025,
45,5202336021536,ΑΒ ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ 800GR,2.50,3.13,7114202.jpg,1,Πάνες Ακράτειας,τμχ,,ab,07-05-2025,13-05-2025,
46,5202336158577,ΑΒ ΧΑΡΤΙ ΥΓΕΙΑΣ 10ΡΟΛΑ 2PLY,2.46,3.28,7745000.jpg,1,Πάνες για Μωρά,τμχ,,ab,07-05-2025,13-05-2025,
47,6920354836077,COLGATE ΟΔ/ΜΑ BAK.SODA 75ML,1.00,13.33,7111615.jpg,0,Μωρομάντηλα,τμχ,,ab,07-05-2025,13-05-2025,
48,5201263006340,E.DAY U.P.HDRY ECONOMY NORMAL 18Τ,2.15,0.12,7113983.jpg,0,Σαμπουάν για Μωρά,lt,,ab,07-05-2025,13-05-2025,
48,5201263006357,E.DAY U.P.HDRY ECONOMY SUPER 18T,2.15,0.12,7113996.jpg,0,Σαμπουάν για Μωρά,lt,,ab,07-05-2025,13-05-2025,
48,5201263006364,E.DAY U.P.HDRY ECON.MAXI NIGHT 18Τ,2.15,0.12,7113984.jpg,0,Σαμπουάν για Μωρά,lt,,ab,07-05-2025,13-05-2025,
48,5949065032890,CARE ΤΑΜΠΟΝ NORMAL 32T,2.66,0.08,7742200.jpg,1,Σαμπουάν για Μωρά,lt,,ab,07-05-2025,13-05-2025,
49,5201109002703,KARAVAKI ΣΑΜΠ.ΘΡΕΨΗ&ΕΝΥΔ.ΑΝΤΛ.600ML,2.67,4.45,7617092.jpg,0,Τροφή για Σκύλους,kg,,ab,07-05-2025,13-05-2025,
50,5202336134403,CARE ΣΑΠΟΥΝΙ 3X125G,1.11,2.96,7614235.jpg,1,Τροφή για γάτες,kg,,ab,07-05-2025,13-05-2025,
51,5201263083501,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ MEDIUM N2 15T,7.39,0.49,7124225.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
51,5201263083518,SANI ΑΝΟΙΧΤΗ ΠΑΝΑ LARGE N3 12T,7.39,0.62,7124226.jpg,0,Αλεύρι,kg,,ab,07-05-2025,13-05-2025,
